id	label
0	1
1	1
2	1
3	1
4	0
5	1
6	1
7	0
8	1
9	0
10	1
11	1
12	1
13	0
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	0
26	1
27	1
28	0
29	0
30	1
31	1
32	1
33	0
34	1
35	1
36	1
37	1
38	0
39	1
40	0
41	1
42	0
43	1
44	1
45	0
46	0
47	0
48	1
49	0
50	1
51	0
52	1
53	0
54	1
55	1
56	1
57	1
58	1
59	1
60	0
61	1
62	1
63	1
64	1
65	1
66	0
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	0
76	1
77	1
78	0
79	1
80	1
81	1
82	1
83	0
84	0
85	1
86	1
87	0
88	0
89	1
90	1
91	1
92	0
93	0
94	1
95	0
96	1
97	1
98	0
99	1
100	0
101	0
102	1
103	1
104	1
105	0
106	0
107	1
108	1
109	1
110	1
111	0
112	0
113	1
114	0
115	1
116	1
117	0
118	0
119	1
120	1
121	1
122	1
123	1
124	0
125	1
126	1
127	0
128	1
129	1
130	1
131	1
132	1
133	0
134	1
135	0
136	1
137	0
138	0
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	0
147	1
148	1
149	0
150	1
151	1
152	1
153	0
154	1
155	1
156	0
157	0
158	0
159	1
160	1
161	0
162	1
163	0
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	0
178	1
179	1
180	1
181	0
182	1
183	1
184	1
185	0
186	1
187	1
188	1
189	1
190	0
191	0
192	1
193	1
194	1
195	1
196	0
197	1
198	1
199	0
200	1
201	1
202	0
203	1
204	1
205	1
206	0
207	0
208	0
209	1
210	1
211	1
212	0
213	1
214	1
215	1
216	1
217	0
218	1
219	1
220	1
221	1
222	1
223	1
224	0
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	0
234	0
235	1
236	1
237	1
238	0
239	1
240	1
241	0
242	0
243	0
244	0
245	1
246	1
247	0
248	1
249	1
250	1
251	1
252	1
253	0
254	1
255	0
256	1
257	0
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	0
270	1
271	0
272	0
273	0
274	0
275	1
276	1
277	1
278	0
279	0
280	1
281	1
282	1
283	1
284	1
285	0
286	1
287	1
288	0
289	0
290	0
291	1
292	1
293	1
294	1
295	0
296	1
297	0
298	1
299	0
300	1
301	1
302	0
303	1
304	1
305	1
306	1
307	0
308	1
309	1
310	0
311	1
312	1
313	1
314	1
315	1
316	0
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	0
325	1
326	1
327	0
328	0
329	0
330	1
331	1
332	0
333	1
334	1
335	0
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	0
346	0
347	1
348	0
349	0
350	0
351	1
352	0
353	1
354	0
355	0
356	1
357	1
358	1
359	1
360	0
361	1
362	0
363	0
364	0
365	1
366	0
367	0
368	1
369	1
370	1
371	1
372	1
373	1
374	1
375	1
376	1
377	1
378	1
379	0
380	0
381	0
382	1
383	0
384	1
385	0
386	1
387	1
388	1
389	1
390	0
391	0
392	1
393	1
394	1
395	0
396	1
397	0
398	0
399	1
400	1
401	1
402	1
403	1
404	0
405	0
406	0
407	1
408	1
409	0
410	0
411	0
412	1
413	1
414	1
415	1
416	0
417	1
418	1
419	1
420	0
421	1
422	1
423	1
424	0
425	1
426	1
427	0
428	0
429	1
430	1
431	1
432	0
433	1
434	0
435	1
436	1
437	0
438	1
439	1
440	1
441	1
442	1
443	1
444	0
445	1
446	1
447	1
448	0
449	1
450	1
451	1
452	1
453	0
454	0
455	0
456	1
457	0
458	1
459	1
460	1
461	1
462	1
463	1
464	1
465	0
466	0
467	1
468	1
469	1
470	0
471	0
472	1
473	1
474	0
475	1
476	1
477	1
478	0
479	1
480	0
481	1
482	1
483	1
484	0
485	1
486	1
487	1
488	1
489	1
490	0
491	1
492	0
493	1
494	0
495	1
496	1
497	0
498	0
499	1
500	1
501	1
502	1
503	1
504	1
505	1
506	0
507	0
508	1
509	1
510	1
511	1
512	0
513	1
514	1
515	1
516	0
517	0
518	1
519	0
520	1
521	1
522	1
523	1
524	1
525	1
526	0
527	0
528	1
529	1
530	0
531	1
532	1
533	0
534	0
535	1
536	0
537	1
538	1
539	1
540	1
541	0
542	1
543	1
544	0
545	1
546	1
547	0
548	1
549	1
550	1
551	1
552	1
553	1
554	0
555	1
556	0
557	0
558	1
559	1
560	1
561	1
562	1
563	0
564	1
565	1
566	1
567	1
568	1
569	0
570	1
571	1
572	1
573	0
574	1
575	1
576	0
577	1
578	0
579	1
580	1
581	0
582	1
583	1
584	0
585	0
586	0
587	0
588	1
589	1
590	0
591	1
592	1
593	0
594	1
595	1
596	1
597	0
598	0
599	1
600	1
601	1
602	1
603	1
604	0
605	1
606	1
607	0
608	1
609	0
610	1
611	0
612	0
613	0
614	1
615	1
616	1
617	1
618	1
619	1
620	1
621	0
622	0
623	0
624	0
625	0
626	0
627	1
628	1
629	1
630	0
631	0
632	0
633	0
634	0
635	1
636	0
637	1
638	1
639	1
640	1
641	1
642	0
643	0
644	1
645	0
646	1
647	1
648	1
649	0
650	1
651	1
652	0
653	1
654	0
655	1
656	0
657	1
658	1
659	1
660	1
661	1
662	0
663	1
664	1
665	1
666	0
667	1
668	0
669	1
670	1
671	1
672	0
673	1
674	1
675	0
676	1
677	1
678	1
679	1
680	1
681	1
682	1
683	0
684	0
685	1
686	1
687	0
688	0
689	1
690	1
691	1
692	1
693	0
694	1
695	1
696	0
697	1
698	0
699	1
700	0
701	0
702	1
703	1
704	1
705	1
706	1
707	1
708	1
709	0
710	0
711	1
712	1
713	1
714	1
715	0
716	1
717	1
718	0
719	1
720	1
721	1
722	1
723	1
724	1
725	1
726	1
727	1
728	0
729	0
730	1
731	1
732	1
733	0
734	1
735	0
736	0
737	1
738	0
739	0
740	1
741	1
742	1
743	0
744	1
745	1
746	0
747	1
748	0
749	1
750	0
751	1
752	0
753	1
754	0
755	1
756	1
757	1
758	1
759	1
760	1
761	1
762	1
763	1
764	1
765	1
766	1
767	1
768	1
769	0
770	0
771	0
772	1
773	0
774	0
775	1
776	1
777	0
778	0
779	1
780	1
781	1
782	1
783	0
784	0
785	1
786	1
787	0
788	1
789	1
790	1
791	0
792	1
793	0
794	1
795	1
796	0
797	0
798	0
799	1
800	1
801	0
802	1
803	0
804	0
805	1
806	1
807	0
808	0
809	1
810	1
811	1
812	0
